,measurement_location,correlation,name,lon,lat,distance_to_ref,mean_streamflow
0,15202300,0.9445520137737219,Chamerau,772999,5454387,41.93430367849215,20.826812785388135
1,15205501,0.9775226441744266,Kienhof,754654,5454455,23.648692352855367,25.880552511415548
2,15207507,1.0,Marienthal,731151,5457076,0.0,30.13648675799089
3,15210206,0.8648745396329857,Zwiesel,808629,5437159,79.99704602671277,6.182949771689494
4,15212008,0.9203269251946072,Teisnach,792241,5439862,63.46896797648438,11.883991415525102
5,15212700,0.9290578251139054,Saegmuehle,786279,5442774,56.952994548135926,15.415621917808217
6,15213500,0.8379548113551557,Aitnach,786177,5441528,57.18042479730279,0.6562296803652964
7,15214003,0.8652907133339544,Zwiesel,809253,5438135,80.36593734288178,4.205940091324197
8,15214604,0.6287800823719206,Hirschbach,819642,5437482,90.63433078585619,0.38799744292237426
9,15216009,0.8669771791783907,Lohmannmuehle,809629,5437141,80.97036932730393,2.1704811872146106
10,15217908,0.8765641086358357,Teisnach,792075,5439213,63.488743451103204,1.749874520547946
11,15221009,0.8740197763804589,Lohberg,798152,5454593,67.04699314659831,0.932283835616439
12,15228008,0.918695143430373,Koetzting,780850,5453366,49.83728223930354,3.371365296803651
13,15241006,0.6034708904959839,Gogl-Muehle,788823,5471809,59.52412009429455,0.32089762557077633
14,15242304,0.8070304548311904,Eschlkam,783449,5468105,53.44828944877469,1.3575738812785378
15,15243001,0.8428573748415348,Furth im Wald,778880,5468131,48.99255520995001,2.260125936073059
16,15246000,0.8691105303773289,Kothmaissling,771733,5460893,40.76111152802387,3.3081094977168983
17,15247002,0.79741238273441,Leming,784900,5466230,54.522937530914454,0.7450939726027405
18,15247501,0.8150186141560126,Oesbuehl,783028,5470376,53.55476756554919,0.18856292237442943
